№,Название стихотворения,H бит,Число начальных букв с нулевыми частотами,Количество слов в стихотворении,Частоты слов на начальные буквы в,Частоты слов на начальные буквы н,Частоты слов на начальные буквы с
1,"Так и мне узнать случилось,",4.1854,3,416,0.1130,0.1178,0.1106
2,"Хочу воспеть, как дух нечистый Ада",4.2023,2,916,0.1048,0.0884,0.1103
3,"Покаместь ночь еще не удалилась,",4.1709,3,716,0.1299,0.0978,0.1020
4,"Ах, отчего мне дивная природа",4.1759,2,734,0.1090,0.0899,0.1090
5,Арист! и ты в толпе служителей Парнасса!,4.1989,2,623,0.0674,0.0979,0.1348
6,"Источник быстрый Каломоны,",4.1239,2,597,0.1441,0.0653,0.0972
7,Вдали ты зришь утес уединенный;,4.1219,6,292,0.1130,0.0719,0.0959
8,"По камням гробовым, в туманах полуночи,",4.1354,4,573,0.1222,0.0785,0.1065
9,"Младой Дафнис, гоняясь за Доридой,",4.1932,7,126,0.0556,0.0397,0.0952
10,"Ты хочешь, друг бесценный,",4.0696,6,412,0.1189,0.0728,0.1238
11,"Возможно ль? вместо роз, Амуром насажденных,",4.1545,4,431,0.1160,0.0974,0.0905
12,"Пускай, не знаясь с Аполлоном,",4.0952,5,207,0.1063,0.0966,0.1304
13,Кто с минуту переможет,4.0437,7,119,0.1008,0.1008,0.1429
14,"В роще сумрачной, тенистой,",4.0857,4,352,0.1477,0.0568,0.1222
15,"Вот зеркало мое – прими его, Киприда!",3.4479,16,42,0.1190,0.1667,0.1667
16,"Вянет, вянет лето красно;",3.9581,10,92,0.0870,0.1630,0.0978
17,Друзья! досужный час настал;,4.1246,4,383,0.1044,0.0914,0.1279
18,"Часто, часто я беседовал",4.2605,1,1155,0.0996,0.0987,0.1264
19,"Философ резвый и пиит,",4.1419,2,353,0.1020,0.0907,0.1303
20,"И ты, любезный друг, оставил",4.0881,7,117,0.1197,0.1197,0.0940
21,Навис покров угрюмой нощи,4.0919,2,936,0.1485,0.0705,0.1026
22,"Под вечер, осенью ненастной,",4.0353,6,279,0.0860,0.1254,0.1075
23,"Средь темной рощицы, под тенью лип душистых,",3.9726,5,238,0.1681,0.0672,0.1176
24,"Прости мне, милый друг,",4.2150,2,1451,0.1096,0.0841,0.1241
25,Люблю я в полдень воспаленный,3.7576,11,73,0.1507,0.0548,0.1233
26,"""Всё миновалось!",4.1042,4,199,0.1859,0.0503,0.1156
27,В пещерах Геликона,3.9474,8,108,0.0833,0.0833,0.1296
28,"Вечерняя заря в пучине догорала,",4.1218,1,502,0.1195,0.0936,0.1016
29,"Любезный именинник,",3.9727,8,199,0.0804,0.0955,0.1307
30,"Пускай угрюмый рифмотвор,",4.0661,7,257,0.0895,0.0661,0.1128
31,"По небу крадется луна,",4.0837,5,309,0.0971,0.0809,0.1133
32,Хочу я завтра умереть,4.1706,3,317,0.1009,0.0883,0.0631
33,"Эльвина, милый друг, приди, подай мне руку,",3.9314,9,92,0.1196,0.1413,0.0870
34,"Ты не наследница Клероны,",4.1017,7,216,0.0741,0.1065,0.1157
35,"Помнишь ли, мой брат по чаше,",4.0211,7,119,0.1849,0.0504,0.0756
36,"Где ты, ленивец мой?",4.0435,4,464,0.0797,0.0841,0.1422
37,"Последним сияньем за лесом горя,",4.0752,9,189,0.1111,0.1005,0.0847
38,"Послушай, муз невинных",4.1395,5,206,0.0777,0.0728,0.1117
39,Утихла брань племен: в пределах отдаленных,4.0609,3,541,0.1183,0.0702,0.1516
40,Вчера за чашей пуншевою,3.9704,10,82,0.0488,0.0854,0.1463
41,"Вам восемь лет, а мне семнадцать било.",4.0863,6,140,0.1714,0.0786,0.0714
42,"Помилуй, трезвый Аристарх",4.1872,3,495,0.0949,0.0949,0.1131
43,"В раю, за грустным Ахероном,",4.2348,3,1388,0.0958,0.0771,0.1203
44,"Всё в таинственном молчаньи,",4.2207,4,215,0.1349,0.0930,0.0930
45,"Ты хочешь, милый друг, узнать",4.1494,2,983,0.1353,0.0621,0.1282
46,"Дитя Харит и вображенья,",3.8648,10,72,0.1111,0.1250,0.0833
47,Заутра с свечкой грошевою,3.6060,14,27,0.0000,0.0370,0.2222
48,Усы. Философическая ода,4.1298,4,206,0.1262,0.0728,0.1165
49,<Из письма к кн. П. А. Вяземскому>,3.9366,9,72,0.0694,0.0694,0.1944
50,Из письма к В. Л. Пушкину,4.0460,7,114,0.1404,0.0965,0.0702
51,Принцу Оранскому,4.0831,4,141,0.1135,0.0638,0.0780
52,Сон,4.1579,2,1205,0.1212,0.1012,0.1004
53,Кж. В. М. Волконской,3.1416,19,19,0.1579,0.1053,0.1579
54,Экспромпт на Агареву,3.2575,18,23,0.1304,0.2174,0.0870
55,Окно,3.9156,9,63,0.0794,0.0317,0.0952
56,К Жуковскому,4.1076,3,722,0.1163,0.0803,0.1357
57,Осеннее утро,4.2049,6,157,0.0892,0.0955,0.1083
58,Разлука,4.0739,8,214,0.0794,0.1121,0.0701
59,Истина,3.6886,12,64,0.0938,0.1094,0.0938
60,На Пучкову,3.6897,15,21,0.0476,0.0952,0.0476
61,"Дяде, назвавшему сочинителя братом",3.5627,14,38,0.0526,0.2368,0.1053
62,Наездники,4.0932,4,329,0.1094,0.0760,0.1185
63,Элегия,3.8851,10,67,0.0896,0.1045,0.1493
64,Месяц,3.9318,11,110,0.0636,0.0818,0.1091
65,Певец,3.2702,13,75,0.2533,0.0133,0.0800
66,К сну,3.9089,10,75,0.0267,0.0533,0.0667
67,Слово милой,3.7348,14,40,0.1000,0.1250,0.1250
68,"Любовь одна – веселье жизни хладной,",4.0525,4,297,0.1178,0.0943,0.1145
69,Элегия,4.1510,5,183,0.0984,0.0656,0.0929
70,Желание,3.8018,11,66,0.0909,0.1212,0.0606
71,Друзьям,3.9519,11,63,0.1111,0.0794,0.0794
72,Элегия,4.1896,5,217,0.0922,0.1244,0.0691
73,Наслажденье,4.0445,9,101,0.0891,0.1386,0.1188
74,К Маше,3.6915,11,71,0.1268,0.1127,0.1268
75,Заздравный кубок,3.9309,9,72,0.1111,0.0417,0.0694
76,Послание Лиде,4.2261,3,274,0.0912,0.0803,0.1204
77,Амур и Гименей,4.1818,3,266,0.0827,0.1165,0.1316
78,Фиал Анакреона,4.1724,6,118,0.1271,0.1102,0.0763
79,К Шишкову,4.1408,3,320,0.0875,0.0969,0.1344
80,Пробуждение,3.8042,12,58,0.1379,0.0690,0.0517
81,Стихотворение 81,1.0000,27,2,0.0000,0.0000,0.5000
82,Старик,3.9280,11,44,0.0682,0.0227,0.1136
83,К Делии,4.0891,8,75,0.0667,0.0667,0.1600
84,Делия,3.8133,11,68,0.0294,0.0441,0.1324
85,Фавн и пастушка,4.2185,2,773,0.1048,0.0815,0.1138
86,Погреб,4.0454,10,65,0.0923,0.0923,0.0769
87,И останешься с вопросом,3.1019,19,17,0.2353,0.1765,0.1176
88,"От всенощной вечор идя домой,",4.1828,6,89,0.1348,0.0337,0.0787
89,"Я сам в себе уверен,",3.0270,20,13,0.0769,0.0000,0.1538
90,Couplets,3.9182,7,178,0.0899,0.0843,0.1573
